provider,pincode,city,state,cod_delivery,prepaid_delivery,pickup,zone_group,zone_code
,574253,Vitla,KARNATAKA,N,N,N,,
,683582,Karukutty,KERALA,N,N,N,,
,591261,ATHANI,KARNATAKA,N,N,N,,
,591503,ATHANI,KARNATAKA,N,N,N,,
,572228,HULIYAR,KARNATAKA,N,N,N,,
,573220,Hassan,KARNATAKA,N,N,N,,
,626109,Muthuramanapatti,TAMIL NADU,N,N,N,,
,626103,SIVAKASI,TAMIL NADU,N,N,N,,
,562222,BANGALORE,KARNATAKA,N,N,N,,
,680546,Wadakkanchery,KERALA,N,N,N,,
,626005,Virudhunagar,TAMIL NADU,N,N,N,,
,639118,Karur,TAMIL NADU,N,N,N,,
,626106,Muthuramanapatti,TAMIL NADU,N,N,N,,
,591258,ATHANI,KARNATAKA,N,N,N,,
,573151,Channarayapatna,KARNATAKA,N,N,N,,
,638151,Karur,TAMIL NADU,N,N,N,,
,591257,ATHANI,KARNATAKA,N,N,N,,
,577116,Kadur,KARNATAKA,N,N,N,,
,691560,Pathanamthitta,KERALA,N,N,N,,
,574225,Moodabidri,KARNATAKA,N,N,N,,
,591260,ATHANI,KARNATAKA,N,N,N,,
,695510,Trivandrum,KERALA,N,N,N,,
,585413,Bidar,KARNATAKA,N,N,N,,
,574325,Vitla,KARNATAKA,N,N,N,,
,562103,BANGALORE,KARNATAKA,N,N,N,,
,574234,Belthangady,KARNATAKA,N,N,N,,
,562152,BANGALORE,KARNATAKA,N,N,N,,
,673510,Kuttiady,KERALA,N,N,N,,
,587155,Ramdurg,KARNATAKA,N,N,N,,
,577138,Kadur,KARNATAKA,N,N,N,,
,673500,Kuttiady,KERALA,N,N,N,,
,586146,ATHANI,KARNATAKA,N,N,N,,
,691566,Pathanamthitta,KERALA,N,N,N,,
,799125,SABROOM,TRIPURA,N,N,N,,
,788113,Meherpur,ASSAM,N,N,N,,
,799142,SABROOM,TRIPURA,N,N,N,,
,781127,Goalpara,ASSAM,N,N,N,,
,783130,Goalpara,ASSAM,N,N,N,,
,799202,KHOWAI,TRIPURA,N,N,N,,
,787032,NOWBOICHA,ASSAM,N,N,N,,
,900063,Bhiwandi,MAHARASHTRA,N,N,N,,
,799141,SABROOM,TRIPURA,N,N,N,,
,798620,Zunheboto,NAGALAND,N,N,N,,
,799144,SABROOM,TRIPURA,N,N,N,,
,788117,Meherpur,ASSAM,N,N,N,,
,781135,Goalpara,ASSAM,N,N,N,,
,788816,Silchar,ASSAM,N,N,N,,
,100000,Delhi NCR,DELHI,N,N,N,,
,794106,Mahendraganj,MEGHALAYA,N,N,N,,
,799207,KHOWAI,TRIPURA,N,N,N,,
,791112,Naharlagun,ARUNACHAL PRADESH,N,N,N,,
,783123,Goalpara,ASSAM,N,N,N,,
,900023,Bhiwandi,MAHARASHTRA,N,N,N,,
,781123,Goalpara,ASSAM,N,N,N,,
,799201,KHOWAI,TRIPURA,N,N,N,,
,791109,Naharlagun,ARUNACHAL PRADESH,N,N,N,,
,403001,Panjim,GOA,Y,Y,N,,
